Title 1		  Fighting Value	Special Action	# of life points	Title 2 			                Number of Free Cards	Green Value	Yellow Value	Red Hazard
food 		    0		            1+ life point	  1			            With the raft to the wreck	  1			                0		        1		          3
Food 		    0		            1+ life point	  1			            With the raft to the wreck	  1			                0		        1		          3
Equipment	  0		            2+ Card		      1			            With the raft to the wreck	  1			                0		        1		          3
Equipment	  0		            2+ Card		      1			            With the raft to the wreck	  1			                0		        1		          3
Books		    0		            1- phase D6	    1			            With the raft to the wreck	  1			                0		        1		          3
Strategy	  0		            2x exchange	    1			            With the raft to the wreck	  1			                0		        1		          3
Strategy	  0		            2x exchange	    1			            With the raft to the wreck	  1			                0		        1		          3
realization	0		            1x destroy	    1			            With the raft to the wreck	  1			                0		        1		          3
mimicry		  0		            1x copy		      1			            With the raft to the wreck	  1			                0		        1		          3
deception	  0		            1x below	      1			            With the raft to the wreck	  1			                0		        1		          3
repeat		  1		            1x double	      1			            Exploring the Island		      2			                1		        3		          6
deception	  1		            1x below	      1			            Exploring the Island		      2			                1		        3		          6
food 		    1		            1+ life point	  1			            Exploring the Island		      2			                1		        3		          6
mimicry		  1		            1x copy		      1			            Exploring the Island		      2			                1		        3		          6
food 		    1		            1+ life point	  1			            Exploring the Island		      2			                1		        3		          6
realization	1		            1x destroy	    1			            Exploring the Island		      2			                1		        3		          6
experience	2		            1+ card		      1			            Exploring the Island		      2			                1		        3		          6
vision		  2		            sort 3 cards	  1			            Exploring the Island		      2			                1		        3		          6
realization	2		            1x destroy	    1			            Further exploring the island	3			                2		        5		          8
strategy	  2		            1x exchange	    1			            Further exploring the island	3			                2		        5		          8
repeat		  2		            1x double	      1			            Further exploring the island	3			                2		        5		          8
food 		    2		            1+ life point	  1			            Further exploring the island	3			                2		        5		          8
weapon		  2		            NA		          1			            Further exploring the island	3			                2		        5		          8
weapon		  2		            NA		          1			            Further exploring the island	3			                2		        5		          8
strategy	  3		            1x exchange	    1			            Wild animals			            4			                4		        7		          11
realization	3		            1x destroy 	    1			            Wild animals			            4			                4		        7		          11
experience	3		            1+ card		      1			            Wild animals			            4			                4		        7	 	          11
vision		  3		            sort 3 cards	  1			            Wild animals			            4			                4		        7		          11
weapon		  4		            NA		          1			            Cannibals			                5			                5		        9		          14
weapon		  4		            NA		          1			            Cannibals			                5			                5		        9		          14
